Year,All Pharmacotherapy Prescriptions,Nicotine Replacement Therapy (NRT) Prescriptions,Bupropion (Zyban) Prescriptions,Varenicline (Champix) Prescriptions,Net Ingredient Cost of All Pharmacotherapies,Net Ingredient Cost of Nicotine Replacement Therapies (NRT),Net Ingredient Cost of Bupropion (Zyban),Net Ingredient Cost of Varenicline (Champix)
2014/15,1348,766,21,561,38145,18208,807,19129
2013/14,1778,1059,22,697,48767,24257,865,23646
2012/13,2203,1318,26,859,58121,28069,994,29058
2011/12,2532,1545,30,957,64552,30951,1216,32385
2010/11,2564,1541,36,987,65883,30808,1581,33494
2009/10,2483,1559,47,877,63425,31429,2060,29936
2008/09,2263,1492,58,714,57520,30683,2143,24694
2007/08,2475,1756,107,612,61479,35883,3882,21714
2006/07,2079,1938,119,22,44817,39743,4315,760
2005/06,2205,2076,129,,48092,43465,4627,
2004/05,2044,1908,136,,46093,40942,5151,